Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
RECON,2,,,MHD ROCKLAND,7573,,,777691562,53806.86,,,720252301,30214.85,
PACOR INC,2,,,"PERFORMANCE PLASTICS,INC.",7563.6,,,763902000,53676.6,,,768251300,30138.9,
REDCO,2,,,GASKETS INC,7537.32,,,779958876,53544.45,,,770210000,29977.42,
KTEC EQUIPMENT & SUPPLIES,2,,,THERMAL TECHNOLOGY INC,7529.5,,,777905413,53511.92,,,764261100,29844.26,
MCAULY MFG. INC.,2,,,PENSAR,7524.16,,,754904006,53410.5,,,726020041,29716.36,
PARAGON PACIFIC SPI,2,,,MAGIKIST LTD.,7489.8,,,754085000,53409.89,,,779957821,29571.96,
"OWENS CORNING SALES,LLC",2,,,"R.L. WILLIAMS & CO., INC.",7344,,,737017020,53295,,,733525550,29488.33,
INSULSHIELD TECHNOLOGY,2,,,C P FILMS INC.,7262.5,,,715001000,53178,,,771330000,29270.03,
KENNAMETAL INC,2,,,RALEIGH-DURHAM RUBBER,7217.1,,,734121000,52942.2,,,754085000,29102.85,
J T THORPE & SON INC,2,,,TRANSCO PRODUCTS INC,7177.24,,,735602115,52627.6,,,763994000,29074.18,
HITCO CARBON COMPOSITIES,2,,,HANSON BRICK PLANT 4,7176,,,740142000,52626.88,,,792623000,28950.53,
DRAKE WATER TECHNOLOGY,2,,,METALLIZED CARBON,7137,,,761924000,52394.94,,,764951800,28907.35,
FLOMET INC,2,,,NAWC-WD/475500D,7038,,,792623000,52096.1,,,764261020,28790.45,
IRON CITY PIPE & SUPPLY,2,,,UNICIRCUIT INC.,7018,,,754477000,51914.8,,,764529600,28787.3,
HOMANS-CORPORATE OFFICE,2,,,RASGAS COMPANY LIMITED,6976,,,742451500,51687.72,,,724401150,28598.09,
HERCULES INDUSTRIES,2,,,NAVAL SURFACE WARFARE CTR,6956.63,,,770380000,51576.8,,,780650000,28596.39,
"HONEYWELL FM&T, LLC",2,,,VALERO OIL,6840,,,733218500,51427.68,,,734030000,28430.95,
INSULATION CONTRACTORS,2,,,UTSU CO. LTD JAPAN,6691.08,,,781610000,51245.82,,,739451010,28374.84,
HUGHES ASSOCIATES INC.,2,,,HARCO MANUFACTURING,6672,,,730710500,51042.8,,,754884006,28374.29,
ENGINEERED PRODUCTS CO.,2,,,BAKER MODULES,6660,,,779959407,50866.2,,,779985552,28179.16,
GOODMAN INDUSTRIAL,2,,,GENERAL INSULATION CO,6654.6,,,779958986,50784.48,,,792785000,28145.74,
HENKEL CHEMICAL MGMT.,2,,,3-I INDUSTRIAL SUPPLY,6625.9,,,764824010,50328,,,733383500,28088.43,
HUSSONG MANUFACTURING,2,,,MATTHEWS INTERNATIONAL,6623.6,,,765735000,50019.84,,,764529560,27918.61,
EXPRESS INTEGRATED TECH.,2,,,MAC ARTHUR CO,6592.5,,,764487510,49764,,,770410000,27863.76,
GRAFTECH,2,,,KINGSTON HOSPITAL,6488.04,,,770600000,49700.16,,,780710000,27778.97,
JBC TECHNOLOGIES INC.,2,,,OVERHEAD MATERIAL,6487.6,,,738542000,49642.5,,,764487510,27574.21,
I SQUARED R ELEMENT CO.,2,,,OWENS BROCKWAY,6486,,,739541200,49465.97,,,766564001,27456.42,
KBR,2,,,EXOTIC METAL FORMING,6470,,,770740000,49383,,,732905000,27419,
GREAT LAKES CHEESE,2,,,SWEP NORTH AMERICA,6383.8,,,734000000,49376.85,,,764821026,27387.01,
GASKETS INC,2,,,AERO ENGINEERING & MFG,6367,,,764529600,49264,,,733464400,27334.17,
ENSER CORPORATION,2,,,TEXCO,6365,,,793530000,49057.92,,,770330000,27318.51,
FERRITE INTERNATIONAL,2,,,GLASTON AMERICA INC.,6343.4,,,733586625,48886.56,,,734890000,27284.13,
FORT RECOVERY INDUSTRIES,2,,,WEATHERFORD LABS,6320,,,764906200,48816,,,733403100,27255.36,
HAWAII BIOCHAR PILOR LLC,2,,,STETSON - ROCK ISLAND,6300,,,777690362,48810.3,,,739541005,26918.44,
GRESCO PRODUCTS INC,2,,,ECOLOG INTERNATIONAL FZE,6300,,,768080000,48538,,,732429400,26891.71,
EAST COAST METAL,2,,,CONSOLIDATED FABRICATORS,6194,,,766161000,48512,,,771502000,26827.92,
GSA ACCOUNT PAYABLE,2,,,PRC-DESOTO INTERNATIONAL,6185.7,,,733141200,48371.2,,,754927000,26815.6,
INTERNATIONAL AGENCIES LT,2,,,"THE N.P. GROUP, INC.",6168.6,,,764901061,48265.73,,,755065000,26792.46,
EXPRESSIONS ART GLASS,2,,,"HSS, LLC",6150,,,733572600,48260.16,,,764762060,26715.04,
EXOCHEM CORPORATION,2,,,"TECH CASTINGS, INC",6097.6,,,733525550,47906,,,766126500,26609.66,
FRC SUPPORT EQUIPMENT,2,,,"CEI ENTERPRISES, INC.",6085.71,,,780650000,47851.01,,,733151550,26491.35,
HERAEUS QUARTZ TECH,2,,,SIMPSON LUMBER COMPANY,5988.75,,,768751000,47799.04,,,727063009,26413.95,
INDUSTRIAL PARTS,2,,,KREEM PRODUCT CO.,5951.55,,,737251000,47795.76,,,764787200,26012.07,
"ITM CO., LTD.",2,,,MATRIX SOLUTIONS,5832,,,779988964,47766,,,754904006,25994.7,
INDUSTRIAL RUBBER & GASKE,2,,,SPI/MOBILE PULLEY WORKS,5827.98,,,777921000,47737.68,,,754904005,25992.36,
"J. T. THORPE & SON, INC.",2,,,ECONOMY DIE & GASKET,5781.2,,,777901000,47481.55,,,764762073,25748.18,
ENVIRONEX INC,2,,,ASHCON,5776.2,,,742451300,47387.38,,,768232500,25482.51,
JOHN HOPKINS UNIVERSITY,2,,,HAGEMEYER NORTH AMERICA,5721,,,777980000,47176,,,733444210,25388.47,
EAGLE PICHER TECHNOLOGIES,2,,,LSI ADL TECHNOLOGY INC.,5648.05,,,777903100,47124.67,,,792620000,25211.11,
HERCULES INDUSTRIES - DEN,2,,,WASHINGTON MILLS,5581.25,,,764529560,46598.67,,,770880000,25118.38,
GAF,2,,,MIDWEST FABRICATION,5568,,,732664000,46110,,,770580000,25045.25,
FLEET SUPPORT SERVICES,2,,,PALL TRINITY MICRO CORP,5538,,,764050000,46094.4,,,770360000,24715.05,
ESSEX GROUP,2,,,GRIFFIN WHEEL CO,5532.48,,,777692462,46068,,,780690000,24641.06,
FLEXLINE LLC,2,,,JOHN HOPKINS UNIVERSITY,5531.6,,,764762060,46008,,,740023000,24574.3,
"EB AIRFOILS, LLC",2,,,ELECTRO-FERRO CENTROL SAC,5512,,,770512000,45629.13,,,764906200,24450.5,
GRAYBAR ELECTRIC CO,2,,,BRUCE DIAMOND CORP,5482.08,,,777902300,45496.5,,,726020007,24414.23,
CERAMATERIALS,2,,,SOUTHWEST RESEARCH,5473.5,,,739541005,45474.93,,,766161000,24372.64,
DALE STOVER,2,,,LABARGE ELECTRONICS,5457.78,,,779985554,45360.4,,,754045000,24256.66,
COLUMBIA MANUFACTURING IN,2,,,A W CHESTERTON COMPANY,5453.9,,,764952010,44688,,,734661300,24255.31,
AMPCO METAL,2,,,CH2M HILL CONSTRUCTORS,5448.88,,,770810000,44488.2,,,764301020,24213.17,
AMERICAN RAILCAR,2,,,PROPULSION TECHNOLOGY,5432,,,781650000,44323.2,,,779959409,24190.42,
ASHCON,2,,,DATA CENTER RESOURCES LLC,5351.5,,,764785100,44280,,,759631000,24146,
APPROVED AERONAUTICS,2,,,GENESYS,5334,,,770700000,44200,,,738542000,24050,
ASHEVILLE RUBBER & GASKET,2,,,POW-R-MATIC INC,5331.84,,,779957196,43989.88,,,793060000,23997.22,
CORNING INCORPORATED,2,,,FLOMET INC,5294,,,777906100,43831.44,,,770850000,23987.92,
ASSOCIATED SPRING,2,,,"GEROME TECHNOLOGIES, INC",5250,,,780690000,43757.61,,,733423700,23876.31,
BURKHART REFRACTORY INST.,2,,,CERAMSOURECE INC.,5239.8,,,777741073,43531.38,,,764706300,23718.28,
"AMSTED RAIL COMPANY, INC.",2,,,WESCO DISTRIBUTION INC.,5228.74,,,733383000,43220.76,,,754867000,23648.27,
CAROLINA GLASS & MIRROR,2,,,STEBBINS ENGINEERING & MF,5219,,,766121615,43048.8,,,777903100,23428.69,
ACS INDUSTRIES INC.,2,,,SAVER SYSTEM,5211,,,737550000,43040.52,,,737017020,23422.78,
A.C. MILLER CONCRETE,2,,,"SAM DONG OHIO, INC.",5189.76,,,779959405,43036,,,770520000,23413.09,
ACTION INDUSTRIAL GROUP,2,,,PATS AIRCRAFT LLC,5176,,,779985552,42544.64,,,768751000,23375.03,
ALSIPS BUILDING PRODUCTS,2,,,ENERSYS ADVANCED SYSTEMS,5157.5,,,764265110,42515.42,,,734762000,23365.24,
ATLAS METALIZING,2,,,RHI-MONOFRAX LTD.,5156.91,,,779956835,42327.36,,,734162000,22947.44,
CONDO ELECTRIC INDUSTRIAL,2,,,MERCER GASKET & SHIM,5107.2,,,771330000,42148.08,,,768112030,22895.75,
AUBURN LEATHER,2,,,NS INDUSTRIES INC.,5039,,,764521022,42018,,,754926000,22847.4,
CUBE TECHNOLOGY,2,,,LACO SALES INC,4979,,,766004000,42012,,,733218000,22805.69,
BAE SYSTEMS,2,,,MICROFLEX INC,4969.5,,,780710000,41985.88,,,777993000,22779.19,
DENTSPLY CERAMCO,2,,,INDUSTRIAL PARTS,4953,,,777690862,41884,,,768222512,22766.59,
BAKER DISTRIBUTING  CO.,2,,,PROCESS RESEARCH PRODUCTS,4950,,,733484800,41843.2,,,734080010,22752.72,
BURNHAM INSULATION,2,,,SAUEREISEN INC.,4934.1,,,765655000,41721.57,,,733505100,22593.97,
BATTELLE FOR THE US DOE,2,,,PRECISION MACHINE & TOOL,4923.6,,,724101400,41684,,,764752120,22337.85,
CAPITAL HARDWARE/ELGEN,2,,,MATERION BREWSTER LLC,4921.79,,,777993000,41639.08,,,777902300,22321.07,
BDI,2,,,HEAT & SENSOR,4900,,,779988973,41616,,,733221200,21718.27,
"CEI ENTERPRISES, INC.",2,,,"ITM CO., LTD.",4888,,,764706300,41077.76,,,793530000,21597.08,
AECOM,2,,,WELSH RESTAURANT EQUIP.,4852.5,,,754907000,40818.07,,,768222530,21569.15,
AMERITHERM INC.,2,,,FASTENAL COMPANY,4851.24,,,755065000,40554,,,765655000,21556.82,
AERO ENGINEERING & MFG,2,,,WHITCRAFT LLC,4849.6,,,726020018,40545,,,738401000,21535.97,
CH2M HILL CONSTRUCTORS,2,,,REFTECH INTERNATIONAL INC,4840,,,784320000,40056.15,,,734611100,21501.4,
AEROJET,2,,,VISUAL COMMUNICATION,4791.26,,,741001000,40018.93,,,777901300,21498.63,
A O SMITH,2,,,"OWENS CORNING SALES,LLC",4746.5,,,753945000,39910.72,,,764462510,21353.55,
BOEING COMMERCIAL,2,,,BAY INSULATION OF TEXAS,4740,,,779956823,39803.4,,,733218300,21352.96,
COLORADO STATE UNIVERSITY,2,,,NORAM ENGINEERING,4719.6,,,768144200,39465.25,,,779957935,21331.11,
3-I INDUSTRIAL SUPPLY,2,,,F & B MFG LLC,4708.8,,,779958163,39330,,,727063020,21319.93,
COMPOSITE USA,2,,,NU-SOURCE INC.,4688,,,734080010,39329.4,,,766121615,21268.09,
BOLTS METALLIZING WEST,2,,,BLASCH PRECISION PRODUCTS,4671,,,779989574,39302.4,,,779989967,21103.86,
CONSOLIDATED FABRICATORS,2,,,FORT RECOVERY INDUSTRIES,4650.26,,,764264054,39220,,,777905413,20955.67,
BORBET ALABAMA INC.,2,,,TEXCAST INC,4640.06,,,764347010,38884,,,764050000,20913.09,
"CPP - CLEVELAND, INC.",2,,,SCREW CONVEYOR CORP.,4635,,,779957935,38869,,,770570000,20876.39,
BRC RAILCAR SERVICE,2,,,MORRISON SUPPLY COMPANY,4630,,,770942000,38821.6,,,726020018,20762.71,
AMERICAN CONTROL & ENGRG,2,,,BETA RESEARCH & DEV. LTD.,4598.42,,,791006650,38418.08,,,764264054,20707.72,
BROCKWHITE PRINCE GEORGE,2,,,FLANDERS ELECTRIC,4582.8,,,766166000,37868.5,,,734961000,20688.04,
DELPHI CORPORATION,2,,,"GARRECO, INC.",4550.4,,,764523000,37823,,,735862000,20668.86,
A G C INC.,2,,,"WOODSAGE INDUSTRIES, LLC",4500,,,768242900,37701.31,,,770218000,20587.77,
"D-J ENGINEERING, INC.",2,,,ZIRCAR ZIRCONIA INC.,4483.18,,,768232500,37658.52,,,727000100,20545.96,
BRUNNER & LAY,2,,,MGM INDUSTRIAL SPLY,4435.2,,,793160000,37523.26,,,791106479,20505.15,
CARDINDAL FG,2,,,APEX PIPELINE SERVICES,4396,,,724401150,37487.4,,,764264050,20499.82,
VISHAY DALE ELECTRONICS,1,,,SOUNDTECH INC.,4366.6,,,734030000,37458.9,,,764520500,20440.22,
UNIVERSAL DYNAMICS INC.,1,,,AUTOMATIC MACHINE PRODUCT,4334.4,,,791006850,37356.13,,,754527000,20349.14,
WILLIAM BONNELL CO. INC.,1,,,MACHINE TOOL,4319.64,,,779958205,37350,,,770530000,20255.73,
SWANTON WELDING&MACHINING,1,,,ALSTOM POWER INC.,4299.75,,,764301020,37302.5,,,779958986,20245.16,
ST GEORGE STEEL CO,1,,,QUADNA - PHOENIX,4293.48,,,793060000,37281.6,,,764524000,20217.93,
"SGL CARBON,LLC",1,,,DeANGELO,4284,,,770800000,37080,,,779956823,20209.98,
WATT FUEL CELL,1,,,NASA GLENN RESEARCH CTR.,4274.56,,,792785000,37035.36,,,764347010,20183.05,
"SAM DONG OHIO, INC.",1,,,SNYDER BENTLEY CO,4247.04,,,792620000,36850.4,,,793520000,20160.68,
SDK LABORATORIES,1,,,PAWLING CORP.,4232,,,770450000,36729.23,,,779958209,20088.84,
TAMPA RUBBER & GASKET,1,,,BAILEY POTTERY EQUIPMENT,4196.8,,,734890000,36722.65,,,777741073,20070.97,
UNIVERSITY OF MINN,1,,,BDI,4196,,,733464400,36641.4,,,733570000,20035.16,
TASE/HB-MEDTEK,1,,,CHERNE CONTRACTING CORP,4161.5,,,727063008,36630,,,795482000,19895.34,
STANDARD INDUSTRIAL SUPPL,1,,,SUMMIT CONTROLS INC.,4152,,,764762073,36571.18,,,738361000,19833.4,
TAYLOR DEVICES,1,,,DENTSPLY CERAMCO,4144.24,,,777901300,36485.67,,,764785100,19738.69,
WAHOO,1,,,FLORIDA PURCHASING AGENCY,4091.93,,,779956939,36479.65,,,754844005,19596.66,
SANDELIUS INSTRUMENTS INC,1,,,LUFKIN RUBBER & GASKET,4074.1,,,764524000,36433,,,764563001,19592.18,
WEST METAL WORKS,1,,,BOEING COMPANY,4044.2,,,735862000,36394.4,,,777143000,19545.12,
TBN ASSOCIATES INC.,1,,,VSP TECHNOLOGIES,4043.75,,,764520500,36184,,,768221012,19485.49,
SGL CARBON GROUP,1,,,HERAEUS QUARTZ TECH,3998.49,,,762114000,36000,,,791006850,19442.44,
SANDERS SUPPLY,1,,,PIONEER GASKET,3988.5,,,764821026,35980,,,766122500,19409.62,
UNITED MATERIALS INT'L,1,,,FEATHERLITE INC.,3980,,,779521000,35765.68,,,779952185,19400.14,
TERRA INTERNATIONAL,1,,,"J. T. THORPE & SON, INC.",3960,,,727063020,35694,,,727000080,19272.03,
UNIVERSITY OF ALBERTA,1,,,INSULSHIELD TECHNOLOGY,3948.8,,,764264056,35322,,,754485000,19257.32,
TEXAS STREET,1,,,WFS LTD.,3948.5,,,768221012,35085,,,735655000,19242.87,
SPX FLOW TECHNOLOGY,1,,,LECTRAHEAT,3944,,,777143000,34927.2,,,764826700,19196.94,
ROBBIE HOLLAND WELDING,1,,,BLOOM ENERGY CORPORATION,3930,,,766126500,34384,,,724034500,19114.36,
STACK-ON PRODUCTS COMPANY,1,,,GSA ACCOUNT PAYABLE,3929.2,,,779980240,34339.86,,,766166000,19008.48,
ROSEMOUNT ANALYTICAL INC.,1,,,DILLON SUPPLY,3918,,,733383500,34324.4,,,780260000,18970.86,
STARBUCKS COFFEE COMPANY,1,,,AVANTI AEROSPACE &,3917.36,,,754067000,34288.08,,,779956835,18898.68,
TEXTRON FINANCE SHARED,1,,,FLEET SUPPORT SERVICES,3910.96,,,768225030,34248,,,784320000,18881.47,
SELECTRODE INDUSTRIES,1,,,LEE PRECISION MACHINE,3882,,,764264052,34132,,,791006650,18718.4,
SHOALS RUBBER & GASKET CO,1,,,ENGINETICS AEROSPACE,3881.8,,,766212000,34121,,,770212000,18583.62,
STETSON - ROCK ISLAND,1,,,MARIND INDUSTRIES,3870.4,,,754927000,33964.18,,,764265110,18573.47,
SHOFU INC.,1,,,RED SEAL ELECTRIC,3842.4,,,770210000,33908.5,,,754067000,18534.62,
WENDT CORPORATION,1,,,HITCO CARBON COMPOSITIES,3839.1,,,754867000,33794.15,,,780290000,18500.67,
SANDIA NATIONAL LABS,1,,,GLASS CRAFTERS,3828.96,,,726020007,33750.08,,,779958205,18460.8,
WHIPMIX,1,,,ATA,3827.36,,,734661300,33640.2,,,724281700,18395.52,
THE DOW CHEMICAL COMPANY,1,,,PRECISION ELECTRO MINERAL,3820.5,,,793550074,33637.68,,,764523000,18380.33,
WISCONSIN ALUMINUM,1,,,BRANHAM CORP.,3815,,,791002500,33608.59,,,766004000,18191.47,
THE MINE SUPPLY CO,1,,,SANDIA NATIONAL LAB,3797.76,,,733151550,33593.4,,,762114000,18014.32,
SWANSON DISTRIBUTING,1,,,ADVANCED RADIATION CORP,3785.12,,,779956826,33320.64,,,745121000,18003.29,
SANDVIK HEATING,1,,,JOHNSON PACKINGS & INDUST,3744.2,,,770722000,33219.8,,,771400000,17967.04,
RTI FABRICATION,1,,,OWENS CORNING FIBERGLAS,3743.16,,,733221200,33187.58,,,770565000,17879.83,
SIERRA LOBO,1,,,DOUGLAS MACHINES CORP.,3740,,,733444210,33180,,,754204010,17866.78,
UNITED SEAL & RUBBER CO,1,,,HAAS GROUP INTERNATIONAL,3719.44,,,780290000,33029.19,,,742461100,17854.66,
THE OHIO STATE UNIVERSITY,1,,,R E UPTEGRAFF MFG COMPANY,3698.48,,,764787200,32943.1,,,770440000,17804.89,
UNIVERSITY ILLINOIS,1,,,COLUMBIA HELICOPTER,3672.8,,,764528300,32901.12,,,792624000,17804.49,
THE R B BIRGE CO,1,,,TURPEN & ASSOCIATES,3629.5,,,777750074,32766.72,,,754887000,17567.71,
UNIVERSITY OF CONNECTICUT,1,,,RAINBOW ART GLASS INC.,3595.54,,,754485000,32686.86,,,780680000,17559.99,
S M ENGINEERING,1,,,PRESCOTECH INC,3564,,,740023000,32658.68,,,779956939,17550.12,
UNIVERSITY OF WISCONSIN,1,,,HUTCHINSON SEAL DE,3564,,,768231012,32646.5,,,770280000,17506.07,
THE TRANE CO,1,,,AMERICAN RAILCAR,3545.64,,,734762000,32572.66,,,764521022,17339.26,
USDA FOREST SERVICE,1,,,BROCKWHITE PRINCE GEORGE,3544,,,795482000,32514.1,,,766689000,17273.73,
THERMAL CERAMICS,1,,,EVANS / EVCO,3519,,,764785122,32490,,,777904000,17244.01,
UTSU CO. LTD JAPAN,1,,,WATT FUEL CELL,3494.4,,,754904005,32485.17,,,779956826,17217.12,
THERMAL NORTHWEST,1,,,"UNICAL AVIATION, INC.",3494.4,,,732429400,32456.1,,,764901054,17214.96,
VALERO OIL,1,,,CIMINI & ASSOCIATES,3460,,,720252301,32382,,,779958166,17148.94,
SIMPSON LUMBER COMPANY,1,,,ARGOS CEMENT LLC,3449.6,,,733403100,32365.04,,,733464510,17071.37,
VATANA PHAISAL ENGNRG CO.,1,,,TIMSCO INTERNATIONAL,3420,,,768250221,32150,,,771100000,17066.5,
THERMAL SOLUTIONS PRODUCT,1,,,AMERICAN CONTROL & ENGRG,3384.72,,,764523200,31841,,,770720000,17035.68,
VIRGINIA TECH,1,,,GERRESHEIMER GLASS INC.,3382,,,793410000,31758.72,,,779571000,16993.95,
SION POWER CORP,1,,,UNIFRAX LTD.,3376.02,,,764563001,31729.6,,,768225030,16854.2,
VITRO AUTOMOTRIZ SA DE CV,1,,,EMCORE CORPORATION,3365.12,,,766045000,31680,,,764821161,16786.5,
SKIDMORE COLLEGE,1,,,THOMPSON IG,3363.2,,,770410000,31611.75,,,791002500,16772.97,
SAINT GOBAIN,1,,,HUGHES CIRCUITS INC.,3353,,,770330000,31435.5,,,779989966,16528.03,
SL PACIFIC,1,,,FIAS USA INC,3340,,,792780000,31432.8,,,766045000,16428.7,
WALTER MORENO,1,,,FERRITE INTERNATIONAL,3334.4,,,766001200,31320,,,742451000,16384.64,
SANDY VALLEY FASTENERS,1,,,RBC INDUSTRIES,3324,,,792062000,31290.08,,,768141020,16273.23,
S & P INSULATION,1,,,TEXAS STREET,3321.6,,,779980223,31171.14,,,715000300,16250.63,
SMITHS TUBULAR SYSTEMS-,1,,,APCO SERVICES,3316.5,,,779980286,31154.76,,,770290000,16206.14,
SEMCOR,1,,,MECHANICAL EQUIPMENT INC,3310.2,,,780260000,31066.5,,,735890000,16164.15,
THERMO CONTROL HEATING,1,,,"ENVIRONMENTAL SERVICES,",3306,,,733570000,31057.2,,,724413000,16082.01,
SAINT-GOBAIN AMERICA SA,1,,,E. A. PATTEN COMPANY,3288,,,737861000,31016.91,,,766125500,16072.88,
THERMO FISHER ENVIR.,1,,,KBR,3253.5,,,764601110,30993.6,,,754495000,15995.03,
SULLIVAN SUPPLY CO,1,,,DIAMOND POWER INT'L. INC.,3241.6,,,793320074,30939.15,,,779959408,15887.01,
SMT,1,,,C.F. ROARK WELDING & ENG,3238,,,777991000,30846.9,,,770710000,15826.08,
WHITE CAP CORPORATION,1,,,GLIDEWELL DENTAL,3230.72,,,764901054,30766.7,,,781630000,15723.32,
SMT INTERNATIONAL LLC,1,,,GENEX TURBINE TECHNOLOGIE,3225,,,766594000,30742,,,779988176,15608.11,
SUNDANCE DIE CUT LLC,1,,,HIGBEE GASKETS & SEALING,3217.9,,,779988108,30723,,,737861000,15440.65,
THERMO-TEK LTD.,1,,,MILLIKEN AND COMPANY,3171.84,,,754527000,30667.18,,,779951186,15392.51,
SEYMORE JOHNSON AIRFORCE,1,,,WIREROPE WORKS INC.,3150,,,763994000,30564,,,733384000,15268.59,
SNS CORPORATION,1,,,CYCLOTHERM OF WATERTOWN,3126.4,,,751348000,30465.84,,,779980925,15255.36,
SUZUKI GARPHYTTAN WIRE,1,,,BEARING SERVICE CO.,3124.75,,,724281700,30440,,,764601110,15228.96,
THIBADO INC.,1,,,ALCOA INC.,3109.5,,,724034500,30247.6,,,733184000,15154.03,
"SDI LAFARGA, LLC",1,,,CASHCO INC.,3106.56,,,733423700,30104.96,,,764864005,15147.71,
THOMPSON ENAMEL,1,,,WARDELL  PUBLICATIONS INC,3071.04,,,759631000,29764.24,,,765735000,15146.82,
SDM & ASSOCIATES INC,1,,,ANCHOR INSULATION,3070,,,732905000,29756.82,,,768241600,15096.19,
SNYDER BENTLEY CO,1,,,ATS CAROLINA INC,3059.2,,,764752120,29726.4,,,764528300,15049.12,
UNITED CHIMNEY,1,,,NORTH ATLANTIC ASSOCIATES,3051.6,,,754204010,29702.76,,,737651000,14964.09,
SANDY WALLIN INC.,1,,,SCHULZ XTRUTED PRODUCTS,3033.72,,,779989336,29664,,,754727000,14898.18,
SEALTHERM CORP,1,,,LILJA CORP,3031,,,789360000,29590.71,,,792062000,14896.14,
SOLAR PRODUCTS INC,1,,,ALBEMARLE CORPORATION,3017,,,764601012,29325,,,764706110,14894.68,
UNIV. of  NORTH DAKOTA,1,,,SILURIA TECHNOLOGY,3014,,,764826700,29321.6,,,754467000,14863.36,
SAUEREISEN INC.,1,,,THE BELL GROUP,2985.92,,,771502000,29193,,,764952100,14776.68,
SPI/MOBILE PULLEY WORKS,1,,,DAVID H. SUTHERLAND & CO.,2980,,,715000300,29067.81,,,734970000,14615.85,
SOLCOAT,1,,,APPLIED TECHNICAL SERVICE,2969.71,,,734611100,28780.45,,,734711100,14611.46,
SPIRIT AEROSYSTEMS INC.,1,,,ROSEMOUNT ANALYTICAL INC.,2947,,,779981056,28774.4,,,780730000,14606.09,
TIMSCO INTERNATIONAL,1,,,SURFACE IGNITER LLC,2941.44,,,766121007,28680,,,770700000,14577.5,
UNIVERSITY OF ARKANSAS,1,,,DILLON SUPPLY COMPANY,2938.5,,,764528200,28526,,,763902000,14545.04,
SOLDAR DE CHIHUAHUA S.A.,1,,,FLAREGAS CORP.,2906.25,,,733481000,28140,,,779989574,14508.38,
UNIVERSITY OF FLORIDA,1,,,INDUSTRIAL SUPPLIES CO.,2860,,,735655000,28042,,,792735000,14492.39,
"TK HOLDINGS, INC.",1,,,PHOTONIS USA INC.,2859,,,766041100,28032,,,779958200,14472.5,
UNIVERSITY OF NOTRE DAME,1,,,ACTION INDUSTRIAL GROUP,2856,,,779959402,27993.6,,,718551000,14247.23,
TOBIASON STUDIO,1,,,FASTENAL,2844,,,781630000,27972.96,,,739541020,14235.6,
SPRINGFIELD INDUSTRIES,1,,,MODINE MFG CO,2836.8,,,734970000,27917.16,,,764822024,14207.46,
SAVER SYSTEM,1,,,KINGSBURY INC.,2822,,,733505100,27767,,,733141300,14199.6,
"US TOOL GRINDING, INC.",1,,,"AMERICAN FOAM CAST, INC.",2814,,,780680000,27385.92,,,777994000,14194.94,
TORTOLITA CREATIONS,1,,,NEW ARTS FOUNDRY,2774,,,777904400,27189,,,768217310,14125.54,
UTLX CARROTANQUES,1,,,PUGET SOUND NAVAL,2741.76,,,779989967,27175.47,,,733444100,14088.04,
TOSOH SMD,1,,,RAYTHEON,2737.76,,,793409000,27048.71,,,781500000,13995.91,
SEISLER MACH & FABRICATIO,1,,,EMPIRE INSUL. SPECIALTIES,2736,,,770580000,27028.55,,,792734000,13973.76,
TOWANDA METADYNE,1,,,ALTAIR TECHNOLOGIES,2736,,,777994000,26875.92,,,733543000,13919.62,
ST. GOBAIN  CONTAINERS,1,,,AERO TUBE TECHNOLOGIES,2736,,,791106479,26849.05,,,733152500,13913.04,
SAXON GLASS TECH INC,1,,,DIVERSIFIED CONTROL INC.,2725.92,,,793520000,26824,,,768142074,13881.13,
VACUUM OVEN,1,,,WALL COLMONOY CORP,2715,,,779958209,26785.3,,,733182340,13870.76,
SOURLIS GLASS STUDIO,1,,,MIDSTATE INDUSTRIAL,2714.88,,,780730000,26775.89,,,754095000,13834.01,
STANDARD FORGED PRODUCTS,1,,,THERMO CONTROL HEATING,2707.5,,,770360000,26595.2,,,764528200,13813.56,
"SBJ ENTERPRISES, INC.",1,,,PANELCRAFT INC.,2642,,,777904000,26536.44,,,733481000,13681.16,
VASTEX INTERNATIONAL,1,,,EFFICIENT MACHINE PRODUCT,2635.2,,,770880000,26509.7,,,764601012,13533.14,
SOUTHERN RESEARCH INSTITU,1,,,SUPER CONDUCTOR MTLS.,2631,,,754495000,26496.66,,,795900120,13509.18,
SAFT AMERICA INC,1,,,TOSOH SMD,2625,,,777691162,26386.62,,,766594000,13456.59,
TREIBACHER SCHLEIFMITTEL,1,,,DRAKE WATER TECHNOLOGY,2623.32,,,779958170,26324.88,,,762116000,13414.77,
STATE INSULATION CORP,1,,,WHITE CAP CORPORATION,2620,,,779958200,26298,,,793320074,13341.05,
SOUTHLANDS ENGINEERING,1,,,BLOUNT BOATS INC.,2592,,,764952100,26289,,,764528100,13327.84,
SELECT INDUSTRIES CORP,1,,,HISCO - MEXICALI,2578.35,,,768141020,26238,,,780640000,13299.3,
"RSG AERODESIGN, LLC",1,,,MATERION ADVANCED MATLS,2536.67,,,764349000,26180,,,770340000,13236.79,
